Hacked target, DeFi Exploit Name,Description, Amount of loss, Attack method, Time, Source,,,,,,
Poly Network,Poly Network,"Multi-chain interoperability protocol Poly Network fell victim to an exploit today, resulting in the loss of roughly $600 million worth of various cryptocurrencies, the platform’s developers revealed.","268,000,000",Contract Vulnerability,"August 10, 2021",https://decrypt.co/78355/poly-network-hacker-returns-million,,,,,,
pNetwork,pNetwork,"An unidentified hacker has stolen 277 wrapped Bitcoin, currently worth around $12.5 million, by exploiting a bug in decentralized finance (DeFi) interoperability protocol pNetwork, its developers disclosed on Sunday.","12,000,000",Contract Vulnerability,"September 20, 2021",https://decrypt.co/81301/defi-bridging-protocol-pnetwork-suffers-12-million-hack,,,,,,
Dego Finance,Dego Finance," Dego Finance’s official Twitter handle claimed that its own address providing liquidity on popular decentralized exchanges – Uniswap and PancakeSwap – was compromised. As a result, DEGO pairs liquidity provided by the team was drained.   CryptoPotato","10,000,000",Private Key Leakage,"February 21, 2022",https://finance.yahoo.com/news/another-10m-lost-defi-hack-125023127.html,,,,,,
Spartan Protocol,Spartan Protocol,"Spartan Protocol, a decentralized protocol built on Binance Smart Chain for incentivized liquidity and synthetic assets, was exploited earlier Sunday UTC due to  a flawed liquidity share calculation  in the protocol, resulting in a loss of more than $30 million, according to a Medium post by on-chain analysis and security startup PeckShield.","30,000,000",Contract Vulnerability,"May 2, 2021",https://finance.yahoo.com/news/bitcoin-success-disgusting-berkshire-charlie-140331147.html,,,,,,
Force DAO,Force DAO,"According to a chain of tweets by Mudit Gupta, blockchain team lead at blockchain software company Polymath, there were five attackers, one of whom later returned his share of the stolen funds. The others, however, made off with FORCE tokens worth about US$376,000.","376,000",Contract Vulnerability,"April 4, 2021",https://finance.yahoo.com/news/defi-hedge-fund-force-dao-150505709.html,,,,,,
EasyFi,EasyFi,"EasyFi, a decentralized finance (DeFi) Polygon Network-powered protocol, has reported suffering a hack Monday of over $80 million.","80,000,000",Private Key Leakage,"April 19, 2021",https://finance.yahoo.com/news/defi-protocol-easyfi-reports-hack-161056203.html,,,,,,
xToken,xToken,Decentralized finance (DeFi) protocol xToken said it suffered an exploit Wednesday by an attacker who used flash loans to take $24.5 million.,"24,500,000",Flash Loan,"May 12, 2021",https://finance.yahoo.com/news/defi-protocol-xtoken-suffers-24-194624307.html,,,,,,
8ight Finance,8ight Finance,"8ight Finance, the OHM fork on the Harmony blockchain that saw some $1.73 million worth of stablecoins stolen from its treasury, has admitted that its  opsec was low  after revealing that the private keys to the treasury wallets were sent through Facebook chat and Google Drive.    Source:FullyCrypto","1,730,000",Private Key Leakage,"December 8, 2021",https://fullycrypto.com/8ight-finance-admits-opsec-was-low-after-treasury-compromised,,,,,,
PancakeHunny,PancakeHunny,"On 20 October 2021, at 0920 UTC. A smart contract was created to exploit the Hunny TUSD vault. The Contract was subsequently executed 26 times. This is the sequence of events.   PancakeHunny | Medium","2,000,000",Price Manipulation,"October 20, 2021",https://medium.com/hunnyfinance/pancakehunny-incident-report-b5b74557b0ad,,,,,,
One Ring Finance,One Ring Finance,"At the time of the attack, the attacker was fully prepared. Before the attack the hacker has moved funds needed for gas through the Celer Network cBridge.15 minutes later the attacker deployed the contract that was used to drain funds from OneRing. This contract has been self-destructed however we are already working with node providers in order to get the information of the block where the contract was deployed. We believe we can find the bytecode, decompile it and at least have a brief idea on how this contract was structured.","1,400,000",Flash Loan,"March 21, 2022",https://medium.com/oneringfinance/onering-finance-exploit-post-mortem-after-oshare-hack-602a529db99b,,,,,,
THORChain,THORChain,$140k in funds were taken by a targeted exploit on a logic error in the ETH Bifrost. The network was halted by nodes and patched. Swaps were re-enabled 6 hours later.,"139,000",Contract Vulnerability,"June 28, 2021",https://medium.com/thorchain/eth-parsing-error-and-exploit-3b343aa6466f,,,,,,
Umbrella Network,Umbrella Network,"On March 20, 2022, Uno Re’s partner- Umbrella Network announced that the LP tokens staked in their Polar Stream staking contracts on Ethereum and BNB Chain are drained from both of the contracts. Reportedly, the hacker then withdrew liquidity using those stolen LP tokens from both the UMB-ETH Uniswap and the UMB-BNB Pancakeswap pools.","700,000",Contract Vulnerability,"March 20, 2022",https://medium.com/uno-re/umbrella-network-hacked-700k-lost-97285b69e8c7,,,,,,
Eleven Finance,Eleven Finance,"Eleven Finance was exploited to drain a number of vaults at the loss of about $4.6 million. The incident was due to a bug that allows the attacker to withdraw funds without burning any shares. While it appears to be a flashloan attack, it is a flashswap-assisted one.","4,600,000",Contract Vulnerability,"June 22, 2021",https://peckshield.medium.com/eleven-finance-incident-root-cause-analysis-123b5675fa76,,,,,,
Abracadabra ,,"Yesterday, some on-chain black magic led to two of Abracadabra’s cauldrons springing a leak. The lending platform was hacked for $6.5M on Ethereum, and Abra’s Magic Internet Money didn't look so magic after all…","6,500,000",Contract Vulnerability Exploit,01/30/2024,https://rekt.news/abra-rekt/,,,,,,
"Agave DAO, Hundred Finance ",,"Agave DAO, (an Aave fork), and Hundred Finance, (a Compound fork), both fell victim to the same reentrancy attack. 2116 ETH ($5.5M) was lost from Agave, and 2363 ETH ($6.2M) from Hundred Finance, giving a total of $11.7M stolen by the anonymous attacker.","11,700,000",reentrancy attack,03/15/2022,https://rekt.news/agave-hundred-rekt/,,,,,,
AlexLab ,,"AlexLab, the self-proclaimed finance layer on Bitcoin, had a few layers stripped, as a compromised private key led to a $4.3 million exploit on AlexLab’s XLink bridge on the BNB network.","4,300,000",compromised keys,05/14/2024,https://rekt.news/alexlab-rekt/,,,,,,
AlphaPo ,,"AlphaPo, a crypto payments processor for gambling platforms, lost $60M across ETH, TRON and BTC over the weekend.","60,000,000",compromised keys,07/22/2023,https://rekt.news/alphapo-rekt/,,,,,,
Anyswap ,,"Anyswap were quick to announce the incident. An exploit was detected in the new anyswap v3 prototype, all bridge funds used in v1/v2 are safe. Remedial action already in place for all exploited funds.","7,900,000",compromised keys,07/10/2021,https://rekt.news/anyswap-rekt/,,,,,,
Arbix Finance ,,"Starting around 3 AM +UTC on Jan 4th, the project drained the vaults of users’ funds and deleted their website, Twitter and Telegram accounts.","10,000,000",rug pull,01/04/2022,https://rekt.news/arbix-rekt/,,,,,,
Ascendex ,,"First BitMart lost ~$196M, now AscendEX has lost $77.7M, again from a “compromised” hot wallet.","77,700,000",compromised keys,12/12/2021,https://rekt.news/ascendex-rekt/,,,,,,
Atlantis Loans ,,"Atlantis Loans was a lending protocol on BSC, before being abandoned by the developers in early April. The attacker pushed and voted through a governance proposal granting them control of Atlantis Loans’ token contracts. They then upgraded with their own malicious contracts, allowing them to transfer tokens from any address which still had active approvals to Atlantis contracts.","2,500,000",Governance Attack,06/10/2023,https://rekt.news/atlantis-loans-rekt/,,,,,,
Atomic Wallet ,,"Atomic Wallet blew up earlier this month. While the news cycle became overrun by the regulatory grudgematch, North Korea’s Lazarus Group have remained busy… …and the losses have continued to mount. Elliptic puts the total at over $100M gone so far, with the worst-hit victim losing $8M USDT.","100,000,000",-,06/02/2023,https://rekt.news/atomic-wallet-rekt/,,,,,,
Balancer ,,"Last Sunday, the AMM (along with ‘official partner’ Beethoven X) lost $2.1M from v2 Boosted pools across Ethereum, Optimism and Fantom.","2,100,000",supply chain,08/27/2023,https://rekt.news/balancer-rekt/,,,,,,
BALD on Base ,,"Coinbase’s compliant and grown-up L2 is already a shitshow. …and it’s still supposedly just a testnet.Over barely 24 hours, users aped into Base’s latest memecoin, BALD, before the rug was pulled for $23M.","23,000,000",price manipulation,07/31/2023,https://rekt.news/bald-rekt/,,,,,,
Bent Finance ,,"Bent Finance is a ""staking and farming platform to enhance your curve returns.” Over the past few weeks, one address has been bending the rules of the protocol, extracting ~$1.75M before things were straightened out.","1,750,000",insider attack,12/21/2021,https://rekt.news/bent-finance/,,,,,,
BitMart ,BitMart ,"BitMart, the self-proclaimed “Most Trusted Crypto Trading Platform”, has lost ~$196M from two of its hot wallets on Ethereum and BSC. The stolen assets (mostly memecoins) total ~$100M on Ethereum and ~$96M on BSC.","196,000,000",-,12/04/2021,https://rekt.news/bitmart-rekt/,,,,,,
CoinEx,,"CEX CoinEx has become the latest crypto custodian to have its hot wallets emptied, losing an eventual total of $54.3M.","54,300,000",-,09/12/2023,https://rekt.news/coinex-rekt/,,,,,,
Conic Finance ,,"Conic Finance got double-rekt on Friday, losing a total of $4.2M from their ETH and crvUSD omnipools. Omnipools accept single asset deposits, which are then spread across a variety of Curve pools to earn LP rewards for depositors. As the news spread, Conic quickly acknowledged the first attack, which drained the ETH pool of $3.3M. Following the second incident, the team decided to shut down all pools.","4,200,000",re-entrancy incidents,07/21/2023,https://rekt.news/conic-finance-rekt/,,,,,,
